original_id_2017;name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temperatuur;vet_percentage;micro
60;Corrie’s Visstekje;Vincent van Goghstraat 15 - Nuenen;7.5;Corrie is dolenthousiast dat de Haringtest haar Visstekje aandoet. Zij hoeft zich ook nergens voor te schamen. Op een broodje met een uitje erbij is dit een uitstekende haring.;Nee;Een paar graatjes, maar voor de rest goed schoongemaakt. Beetje karamel verkleurd. Iets belegen en aan de vettige kant. In de verte nog een beetje room.;7.5;Gemiddeld;Goed;75;2.50;3.33;6.8;10.6;Zeer goed
61;The Fishery;Doctor Slotemaker De Bruïneplein - Veenendaal;7.5;Hollandse Nieuwe zoals je die (te) vaak tegenkomt. Wie de topproducten kent, haalt z’n neus op, maar de gemiddelde consument zal hier helemaal geen moeite mee hebben.;Ja;Te veel graten om lekker te eten. Ook vanbinnen niet schoongestreken. Geen top, maar ook geen echte afwijkingen. Wel aan de hartige kant.;7.5;Licht;Matig;59;2.00;3.38;6.8;10.7;Zeer goed
62;De Lemster Vishal;Kortestreek 3 - Lemmer;7;Op het oog een gemiddelde viszaak met redelijke haring, maar vis en toeristen zijn niet altijd een gelukkige combinatie. Weten die buitenlanders hoe een Nieuwe smaakt?;Ja;Huid en veel vuil van de plank. Ook erg onregelmatig gefileerd. Doorgerijpte haring met alle smaakkenmerken van dien. Jammer van het bittertje.;7.5;Sterk;Matig;69;2.00;2.89;5.5;13.4;Waarschuwingsfase
63;Vishandel Harry van Goor;Johannes Vermeerstraat 33 - Maarssen;7;Vriendelijke eigenaar ziet de koeltas en vermoedt dat het AD in de zaak staat. Dat klopt. Klein schoonheidsfoutje doordat de temperatuur iets te hoog is.;Ja;Voor de eerste klanten van de dag komt de haring uit een emmer van de vorige dag. Niets mis mee, wel bepalend voor de belegen smaak.;7.5;Gemiddeld;Zeer goed;73;2.50;3.42;7.1;10.1;Zeer goed
64;Van der Zwan Vistotaal;Kerkeveldlaan 14 - Roermond;7;Van oudsher een bekende en gerenommeerde naam in noordelijk Limburg. Kan zich met een klein beetje meer moeite vermoedelijk aanzienlijk verbeteren.;Nee;Hollandse Nieuwe zoals die op veel plaatsen wordt verkocht. Beetje gerijpt, iets te hoge temperatuur en daardoor een vettige smaak.;7.5;Gemiddeld;Zeer goed;67;1.85;2.76;9.5;10.3;Zeer goed
65;Visspecialist Bonito;Verkoopwagen Hobbemastraat - Maassluis;7;Door het langdurig schoonmaken loopt de temperatuur op. Dat kan iets zijn om op te letten. Verkoper klaagt over de gemeente die hem geen andere standplaats wil verstrekken.;Ja;Verkoper herkent de keurmeester en pakt toch maar een nieuwe emmer. Geen bezwaar. Frisse haring die al iets is verkleurd. Hartig en iets gerijpt.;7.5;Gemiddeld;Goed;58;1.80;3.10;9.8;5.9;Goed
66;Visspeciaalzaak De Bleistarte;Schoolstraat 4 - Zwartsluis;7;Een Hollandse Nieuwe zoals je deze dit jaar bij bosjes tegenkomt. Er is niets mis mee, maar net een aantal uren te lang doorgerijpt. Dat spel moet je als detaillist (leren) beheersen.;Ja;Door een enkel graatje laten we de pret niet bederven. Fris en mooi rood, maar ook doorgerijpt. Niet meer zilt en romig. Goede middenmoter.;7;Gemiddeld;Goed;66;1.95;2.95;4.7;11.7;Zeer goed
67;Vishandel Volendam;Zamenhofdreef 31 - Utrecht;7;Doorsnee viswinkel waar alles prima in orde lijkt. Wat betreft de haring kan er nog wel een verbeterslag worden gemaakt, maar veel klachten zal deze haring niet geven.;Ja;Haring zoals die veel wordt verkocht. Doorgerijpt, nog wel enigszins mals maar ook een tikkeltje vettig. Daardoor niet echt fris. Iets verkleurd.;7;Sterk;Zeer goed;77;2.35;3.05;5.3;12.6;Zeer goed
68;Hopman’s Zeevishandel;Verkoopwagen dagmarkt donderdag centrum - Lopik;7;Werken in een verkoopwagen is altijd lastig en helemaal als je alleen staat. Verkoper wordt niet nerveus van drukte voor de kraam en werkt rustig door. Geen top, wel acceptabel.;Ja;Los van wat graatjes goed schoongemaakt. Deense haring die onder je handen bruin kleurt. Zacht beestje met de structuur van mayonaise.;7;Gemiddeld;Goed;85;2.10;2.47;5.8;12.4;Zeer goed
69;Vishandel Theo Muys;Dobbe 7 - Zwolle;7;Detaillist snijdt ’s morgens vroeg nog uit de emmer van vorige dag. Daar is niets mis mee, maar de haring rijpt wel door. Een nieuwe emmer valt waarschijnlijk 1,5 punt hoger uit.;Ja;Eerst een compliment voor het schoonmaken! Wat belegen haring, aan de zachte kant. Enigszins bruin verkleurd. Nog wel goed van smaak.;7;Gemiddeld;Zeer goed;77;1.95;2.53;6.4;8.2;Goed
70;Vishoek Maru;Villapark - Rotterdam;7;In elk mens schuilt een verhaal. Leer deze mensen kennen en proef iets van de hardheid en tragiek die het leven kan brengen. En dan toch doorgaan. Dat verdient bewondering.;Ja;Goed schoongemaakt. Ruikt ver weg nog iets zilt. Transparant en blank visvlees. Aan binnenzijde iets verkleurd. Geen top, maar hapt wel lekker weg.;7;Gemiddeld;Goed;67;2.00;2.98;6.9;10.7;Zeer goed
71;Vishandel De Zeemeeuw;Meeuwenlaan 136 - Amsterdam;6.5;De Zeemeeuw mag dan een prima haring serveren, met een dergelijke slordige manier van werken is het gewoon wachten op het komende bedrijfsongeval. Bederf ligt op de loer.;Nee;Puur op smaak kan deze Nieuwe er wel mee door. Bedrijfsmatig gaat het om de details. Geen vork gebruikt, temperatuur veel te hoog.;8;Gemiddeld;Goed;77;2.50;3.24;12.9;9.4;Zeer goed
72;Van Arenthals Vishandel Kees;Geert Groteplein 11 - Alkmaar;6.5;Van Arenthals heeft in Alkmaar een goede naam, maar maakt deze niet waar. Slordigheden in de bedrijfsvoering kosten punten. Misschien tijd om de zaak eens goed door te lichten.;Ja;Haring pak je met een vork, niet met je handen. Temperatuur is ook te hoog. Nog iets fris en rood. Mals maar niet zilt en romig. Beter verwacht.;7.5;Gemiddeld;Zeer goed;68;2.20;3.23;8.9;10.9;Voldoende
73;Tijger & De Vis;Lindengracht 158 h - Amsterdam;6.5;Met een eigen assortiment wil Tijger & De Vis zich onderscheiden van andere viszaken. Dat is een mooi streven. Kan wat scherper qua werkwijze. Laat bijvoorbeeld temperatuur niet oplopen.;Ja;Jonge, enthousiaste ondernemer loopt haring met een pincet na om alle graten te verwijderen. Haring is mals, hartig, zacht en doorgerijpt.;7.5;Gemiddeld;Zeer goed;79;3.00;3.79;10.3;11.2;Voldoende
74;Vishandel Gundlach;Groenelaan 73 - Schiedam;6.5;Vriendelijke verkoper vertelt hoe de Gundlachs eeuwen geleden als glasblazers naar Schiedam kwamen. En hij zit in de vis. Beheersing van temperatuur is puntje van aandacht.;Ja;Het schoonmaken is best in orde. Ook in de geur geen afwijkingen. Wel weer die karamelverkleuring. Iets doorgerijpt en vettig. Toch niet onaardig.;7.5;Gemiddeld;Goed;60;2.00;3.33;10.4;13.1;Zeer goed
75;Vislokaal;Soesterbergsestraat 31 - Soest;6.5;Een nieuwe zaak waar het vooral een kwestie lijkt van puntjes op de i zetten. Meer aandacht voor het schoonmaken, temperatuur beter bewaken en alles komt vermoedelijk wel goed.;Ja;Graten en vuil van de snijplank. Ook zijn er hele happen uit het visvlees. Geen afwijkingen, maar ook niets dat het fijne van een nieuwe kenmerkt.;7;Gemiddeld;Matig;68;2.50;3.67;7.1;13.7;Zeer goed
76;Vishandel Frijters;Verkoopwagen Doormanplein - Capelle a/d IJssel;6.5;Frijters is al vele jaren in Capelle een vaste verschijning. Presteert wisselend. Scoort ook regelmatig hoger. Mogelijk iets teveel op de automatische piloot gewerkt. Weer op scherp.;Ja;Met vuil van de snijplank en graten maak je geen vrienden. Doorgerijpte haring met volle olieachtige smaak. Verder geen afwijkingen.;7;Gemiddeld;Matig;81;2.25;2.77;8.5;11.3;Zeer goed
77;Vishandel Waninge;Walderstraat 27 - Lochem;6.5;De jonge Marc Huetink heeft de zaak van zijn oude leermeester overgenomen. Als het om haring gaat, is het een kwestie van nog veel leren en de puntjes op de i.;Ja;Huid en graten. Een Nieuwe waar het frisse vanaf is. De rijping is al flink op gang gekomen en dat bepaalt de (belegen) smaak. Niet slecht, kan beter.;7;Gemiddeld;Matig;73;2.45;3.35;8.5;13.0;Zeer goed
78;Vishandel J. van de Geest;Verkoopwagen Pieter Stastokerf - Amersfoort;6.5;Je mag hem niet afkeuren. En zeker met een uitje erbij zal deze belegen Hollandse Nieuwe prima smaken op een broodje. Maar als haringliefhebber leg je de lat graag wat hoger.;Ja;Huid en graten. Het fileermes is te gretig gehanteerd. Haring aan binnenzijde bruin verkleurd. Niet echt fijn van smaak. Olieachtig en vettige smaak.;6.5;Sterk;Matig;72;1.95;2.6;5.9;5.9;Goed
79;Visspecialist Spijkenisse;Winterakker 27 - Spijkenisse;6.5;Een Hollandse Nieuwe die je niet mag afkeuren, maar waar je de echte liefhebber ook weinig plezier mee zult doen. Het is allemaal zo middelmatig. Ga de uitdaging eens aan.;Ja;Ook deze haring heeft zijn frisheid al weer enige tijd achter de rug. Stevig visvlees. Karamel verkleurd. De bekende typisch belegen smaak.;6.5;Gemiddeld;Matig;60;2.00;3.33;6.2;7.2;Goed
80;Gamba Seafood;Jansstraat 31 - Arnhem;6.5;Panel hoopte weer eens een 9 of hoger te kunnen noteren. Maar met deze peperdure, uiterst matige haring maakt Gamba zijn goede naam en faam geenszins waar. Kan en moet beter.;Ja;Frisse en zilte geur is geheel verdwenen. Doorgerijpte lucht. Haringen zijn karamel verkleurd. Gerijpt en tikkeltje olieachtig van smaak. Geen top.;6.5;Gemiddeld;Goed;62;2.70;4.35;6.4;9.3;Zeer goed
81;Vishandel Jack de Scheveninger;Verkoopwagen Graaf Florisplein - ’s-Gravenzande;6.5;Vooral bij een verkoopwagen blijft het toch altijd een beetje een gok wat je gaat tegenkomen. Geen onvoldoende is het niet, maar tegen een keertje overslaan zal ook niemand bezwaar maken.;Ja;Haring oogt fris, maar ziet er beter uit dan hij zal smaken. Aan de zoute kant, sterke pekelsmaak en sterk doorgerijpt. Je moet ervan houden.;6.5;Sterk;Goed;58;1.95;3.41;6.7;11.8;Goed
82;Visspeciaalzaak Ans Klappe;Heidebloemstraat 57 - Nijmegen;6;Buurtwinkel waarvan je je als buitenstaander afvraagt hoe er een fatsoenlijke boterham is te verdienen. Zeker geen onvoldoende, maar voor de haring hoef je hier niet heen.;Nee;De haring is karamel verkleurd. Afwijkende, tikkeltje zoete lucht. In smaak geen verdere grote dissonanten. Wel aan de vettige kant.;7;Gemiddeld;Goed;74;2.25;3.04;7.3;10.8;Waarschuwingsfase
83;Volendammer Vishandel Tol;De Huesmolen 74 - Hoorn;6;Kniertje zei het al: ‘De vis wordt duur betaald.’ Voor bijna 3 euro (6 gulden, rekenen sommige oudere haringeters nog) mag je meer verwachten dan deze middelmaat.;Nee;Ook deze haring is alle frisheid kwijt. Zowel vanbinnen als vanbuiten sterk bruin verkleurd. Niet echt vies, maar smakelijk is wat anders.;6.5;Gemiddeld;Zeer goed;78;2.75;3.52;7.4;13.9;Goed
84;Haringshop Eudokiaplein;Eudokiaplein - Rotterdam;6;Straatverkopers zoals je die alleen in Rotterdam en omgeving gedurende een paar weken per jaar kunt aantreffen. Een folkloristische manier van doen, in feite niet van deze tijd.;Ja;Opperhuid, een te lange hoofdgraat en niet strak gesneden. Te hoge temperatuur en dat proef je. Hartig, gerijpt en pekelsmaak.;6.5;Gemiddeld;Matig;63;1.80;2.85;9.4;7.0;Goed
85;Bram van Diermen World of Fresh Fish;Verkoopwagen dagmarkt woensdag Voorstraat - Vianen;6;Van Diermen heeft wel eens beter gescoord en ook wel slechter. Eigenlijk weet je nooit waar je aan toe bent. Het kan alle kanten opgaan. En of je daar nu gelukkig van wordt?;Nee;Haring ruikt tranig en dat is ook al in de smaak terug te proeven. Visvlees bruin verkleurd. Sterk doorgerijpt. Geen frisse haring.;6;Sterk;Goed;58;2.00;3.44;6.3;12.5;Goed
86;024 Vis;Zwaneveld 8020 - Nijmegen;5.5;De scheidslijn tussen een voldoende en een onvoldoende kan soms flinterdun zijn. Op smaak valt het muntje de goede kant op. Maar een scherpere werkhouding is noodzakelijk.;Nee;Tikkeltje belegen haring die alle frisse componenten achter zich heeft gelaten. Binnenzijde bruin verkleurd. Zo’n beetje de middelmaat.;7;Licht;Goed;77;2.75;3.57;8.9;4.6;Slecht
87;Urker Vis en meer;Kleine Kerkstraat 1 - Leeuwarden;5.5;Bij Chinese ondernemers denk je niet automatisch aan een klik met zo’n traditioneel product als Hollandse Nieuwe. Er zijn wel een paar verbeterpuntjes aan te dragen.;Ja;Veel huid en graten. Daar word je niet vrolijk van. Zowel vanbinnen als vanbuiten sterk bruin verkleurd. De smaak valt desondanks alleszins mee.;7;Gemiddeld;Matig;73;2.00;2.73;10.6;13.3;Waarschuwingsfase
88;Vishandel Anita;Textielplein 34 - Tilburg;5.5;Ook na vele jaren veldwerk blijf je je verbazen over de dagelijkse praktijk. Een visdetaillist die zo werkt, speelt met vuur. Is het desinteresse? Pure ondeskundigheid?;Nee;Een hoge temperatuur en een vette haring is geen gelukkig huwelijk. Bruin verkleurd. Nu nog redelijk van smaak, had een paar uur later anders kunnen zijn.;7;Gemiddeld;Goed;66;2.50;3.78;13.4;8.1;Waarschuwingsfase
89;Vishandel Boels;Menistenplein 1 - Stadskanaal;5.5;Boels is provinciaal winnaar van de Kibbelingcup, een marketingproject van de Vereniging Nederlandse Visdetaillisten. Jammer dat hij niet meer aandacht heeft voor de Hollandse Nieuwe.;Nee;"Haringfilets kleven iets aan elkaar; niet fris. Buitenzijde karamel, vanbinnen bruin verkleurd. Vrijwel geen bite. Iets klef en olieachtig.";6.5;Gemiddeld;Goed;80;2.20;2.75;9.9;11.2;Waarschuwingsfase
90;Vishandel Sontplein;Sontplein 3 - Groningen;5.5;Vrolijk stel hardwerkende vrouwen houdt de vaart en de stemming erin. Iets meer aandacht voor waar zij mee bezig zijn, zal de kwaliteit wel ten goede komen. Beetje kantje boord.;Ja;Haring beetpakken met de handen kost 0,5 punt. Slordig schoongemaakt: graten, vuil van de snijplank, ingewanden. Smaak: een bek vol mayonaise.;6.5;Gemiddeld;Matig;68;2.00;2.94;8.9;14.2;Zeer goed
91;Vishandel Keizer & Zn;Verkoopwagen Veldhoflanden 5 - Enschede;5.5;Het getuigt van lef om voor zo’n harinkje 2,50 euro te vragen en dan deze kwaliteit te leveren. Maar klaarblijkelijk laten zijn klanten Keizer hiermee wegkomen. Raadselachtig.;Nee;Los van een paar graatjes goed schoongemaakt. Smaak valt voor een Nieuwe tegen. Sterk bruin verkleurd. Doorgerijpt en bitter. Ook dat vettige.;6;Gemiddeld;Goed;62;2.50;4.03;7.1;12.3;Zeer goed
92;Vishandel Buter;Verkoopwagen Wittesteijn - Emmeloord;5.5;Buter heeft geluk dat hij ’s morgens wordt beoordeeld. Een paar uur later en deze haring had er helemaal doorheen gezeten. Scherpere attitude van personeel lijkt noodzakelijk.;Nee;Heel veel smurrie aan de binnenzijde, erg rafelig gesneden. Ook nog huid. Bruin verkleurd. Het kan nog wel, maar voor je genoegen eet je dit niet.;6;Sterk;Slecht;65;2.00;3.07;8.3;7.2;Zeer goed
93;Urker Visspecialiteiten Baarssen;Noorderwagenplein 10 - Lelystad;5.5;De zaak ademt de sfeer van het bekende gooi- en smijtwerk. Alles gaat razendsnel, maar de zorgvuldigheid lijkt daarmee het kind van de rekening. In feite een tientje weggegooid hier.;Nee;Graten, huid en smurrie. Het snellere schoonmaakwerk. De haring is alles kwijt wat het beestje zo aantrekkelijk maakt. Korrelig en olieachtig.;5.5;Gemiddeld;Matig;82;2.25;2.71;6.1;10.0;Zeer goed
94;Volendammer Vishandel Plat & Tol;Quirinegang 81 - Zoetermeer;5.5;De zaak staat in Zoetermeer bekend als een gedegen viswinkel en scoorde in het verleden al eens een 8,5. Nu bestaat de indruk dat het scherper kan. Teugels aanhalen.;Ja;Veel huid en graten. Filets kleven enigszins aan elkaar. Zachte, papperige haring met een afwijkende, vreemde bijsmaak. Geen echt genoegen.;5.5;Gemiddeld;Matig;59;2.00;3.38;6.1;10.5;Voldoende
95;Vishandel Wennekes;Verkoopwagen parkeerterrein Jumbo ’s-Gravenwaardsedijk 78 a - Tolkamer;5.5;In de regio is Wennekes een grote naam. De vraag is of het hier eenoog in het land der blinden is. Met concurrentie op de loer red je het niet met deze kwaliteit.;Nee;Sterk doorgerijpte lucht en dan weet je wat je te wachten staat. Smaakt al een beetje vissig, eerste sporen ransheid. Eet je niet voor je plezier.;5.5;Sterk;Matig;68;2.1;3.08;6.9;10.5;Zeer goed
96;Zeevishandel Kees Heinen;Verkoopwagen dinsdag Waardenburglaan - Tiel;5;Verkooppunt maakt een enigszins rommelige indruk. Dat het naar rottend afval stinkt , draagt ook al niet bij tot de feestvreugde. En dan ook nog een matige haring.;Ja;Ondanks de zeer hoge buitentemperatuur slaagt Heinen erin beneden de 7 graden te blijven. Knap. Voor de rest helaas een vettige gratenbak.;6;Gemiddeld;Slecht;65;2.25;3.46;6.1;10.5;Slecht
97;Rene’s Visspeciaalzaak;Herenhof 34 - Alphen a/d Rijn;5;Niet vers van het mes snijden is een keuze, maar het niet beheersen van de temperatuur in de vitrine toont gebrek aan vakmanschap. Dat ga je snel proeven.;Nee;Het schoonmaken is uitstekend gedaan, maar daarmee hebben we het wel gehad. Tranige geur komt in de smaak terug. Vet en zalvig. Iets metaal.;6;Sterk;Zeer goed;63;2.10;3.33;10.2;10.0;Goed
98;Vishandel De Lekkerbek;Verkoopwagen Grote Beer - Hoogeveen;5;‘Onze kwaliteit is hoog’, schrijft De Lekkerbek op de eigen website. Zo’n opmerking bekt wel lekker, maar blijkt, gelet op wat er in de praktijk gebeurt, gewoon loze prietpraat.;Ja;De haring heeft de rooklucht van gebakken vis aangenomen. Binnenzijde kleurt bruin en crème. Daarop gelet valt de smaak nog mee. Vissig en vet.;6;Gemiddeld;Goed;63;2.00;3.17;13.8;8.7;Goed
99;Van Altena Seafood;Amstelveenseweg/hoek Kalfjeslaan - Amsterdam;5;De oude Van Altena, ooit wereldberoemd in Amsterdam met zijn kraam naast het Rijksmuseum en bekend om zijn fanatisme, draait zich in zijn graf om dat dit over de toonbank gaat.;Ja;Op het schoonmaken is niets aan te merken. Temperatuur is veel te hoog. Daardoor ook die olieachtige, vettige smaak. Bitter en iets metaal.;6;Gemiddeld;Zeer goed;74;3.00;4.05;14.2;12.5;Zeer goed
100;Vishandel Schot-Bout;Turfkade - Brielle;5;Teleurstellend resultaat van verkooppunt dat bekendstond om zijn goede haring. Aan de (sub)top blijven is topsport. Als de aandacht verslapt, krijg je dit soort vreemde uitglijders.;Nee;Veel te veel graten om aangenaam te eten. Ruikt een beetje zuur. Al het frisse is verdwenen. Rare, afwijkende smaak. Ook bitter en metaalsmaak.;5.5;Gemiddeld;Matig;53;1.90;3.27;7.1;12.6;Zeer goed
101;Visshop De Noordkade;Noordkade 27 - Drachten;4.5;Zou iemand van de Partij voor de Dieren hier een harinkje happen, dan volgt daar zeker actie op. Een Hollandse Nieuwe op deze manier presenteren is dierenmishandeling.;Nee;Huid en graten. Hier is de bijl gebruikt in plaats van het fileermes. Karamel verkleurd. Niets fris meer te bespeuren. Smaakt vooral bitter. Doodzonde.;5;Gemiddeld;Matig;63;2.00;3.17;7.9;12.4;Voldoende
102;Vishandel Konter;Haven 21 - Vollenhove;4.5;Vollenhove is je een pittoresk dorpje, zeker aardig om een keertje langs te gaan. Maar het is ook goed te weten welke plaatsen je als haringliefhebber moet mijden.;Nee;De lucht van de palingrokerij vind je in de haring terug. En waarom de binnenzijde niet even afgestreken? Bloed is donker verkleurd. Rans en bitter.;4.5;Sterk;Matig;63;2.00;3.17;5.4;10.5;Zeer goed
103;Visspeciaalzaak Van Schoonhoven;Marktplein 11 - Bennekom;4;Kwaliteit laat zich met de mond gemakkelijk belijden. Overgebleven haring ook echt verwerken in plaats van te verkopen, is een heel ander verhaal. Boefjes zijn het.;Nee;Om 09.00 uur ruim je eerst op wat van de vorige dag is overgebleven. Beetgepakt met de handen. Bruin en roze. Vooral olie en bitter. Bah!;5;Sterk;Goed;64;2.25;3.51;4.3;6.4;Zeer goed
104;XL Vis;De Stede 21 - Den Haag;4;Relatief hoog geprijsd en absoluut zonde van je geld. Een lekkere Hollandse Nieuwe is een prima visitekaartje voor je bedrijf. Met deze haring geef je eerder een wegblijfgarantie af.;Nee;Ooit goede haring is al veel positieve eigenschappen kwijtgeraakt. Ruikt muf, vooral aan binnenzijde donker verkleurd. Harinkje oude kaas.;5;Sterk;Goed;71;2.20;3.09;8.3;8.9;Waarschuwingsfase
105;Visspecialiteiten De Oceaan;Plein 1953-1 - Rotterdam;4;Duidelijk een kwestie van beter nadenken over procedures en de puntjes op de i zetten. Als er niets gebeurt, is het een kwestie van tijd voordat het helemaal misgaat.;Ja;Buiten schoonmaken terwijl er een warme wind waait, is vragen om problemen. Bruin verkleurd. Vettig en een metaalachtige bijsmaak.;5;Gemiddeld;Zeer goed;77;1.85;2.90;10.5;11.4;Zeer goed
106;Vishandel Tammenga;Verkoopwagen Borgsloot - Groningen;4;Zelden zo’n droef verkooppunt gezien. Onverzorgd, niet schoon, en personeel waar de last van het leven vanaf straalt. Oprecht medelijden met deze ondernemers.;Ja;Schoonmaken duurt eindeloos en dan nog huid en graten. Licht- en donkerbruin verkleurd. Een mond vol vettige substantie. Haring? Bah!;5;Gemiddeld;Matig;64;2.00;3.12;13.9;7.9;Goed
107;Vishandel Volendam Kerkelanden;Kapittelweg 233 - Hilversum;4;Wie de restjes van de vorige dag in de vitrine legt, verdient niet beter. Doodzonde. Nieuwe, mooie winkel en dan uit verkeerde zuinigheid je naam meteen zo te grabbel gooien.;Nee;Altijd positief beginnen: goed schoongemaakt. Jammer dat de haring niet te eten is. Zwaar bruin verkleurd. Rans, bitter en metaalsmaak.;4.5;Sterk;Goed;78;2.45;3.14;6.3;9.7;Zeer goed
108;Volendammer Vishandel Sier;Landstraat 34 - Bussum;4;Je snapt niet wat dit soort visdetaillisten bezielt. Volledige desinteresse en een schrijnend gebrek aan vakmanschap. Wie zo kennis maakt met Hollandse Nieuwe, eet hem nooit meer.;Nee;Graten en vuil van de plank. Oogt onsmakelijk en smaakt ook zo. Metalige bijsmaak. Ook nog eens rans en bitter. Doodzonde van je geld.;4;Sterk;Matig;73;2.30;3.15;6.5;11.6;Zeer goed
109;Vishandel Jan Zwarthoed;Verkoopwagen weekmarkt woensdag Raadhuisplein - Nederweert;3.5;Heel attent: haring wordt verpakt in een klein koeltasje. Maar dat is slechts symboolpolitiek als de haring al te warm uit de vitrine komt. Even bij de les blijven a.u.b.;Nee;Het kan niet vaak genoeg gezegd: een te hoge temperatuur is funest voor haring. Bruin verkleurd, rans en een metalige bijsmaak.;5.5;Gemiddeld;Goed;59;2.00;3.38;11.2;7.5;Slecht
110;Vishandel ’t Dolfijntje;Ring 5 - Burgh-Haamstede;3.5;Burgh-Haamstede is in de zomer natuurlijk één grote toeristenfuik. ’t Dolfijntje zal denken dat kwaliteit er niet toe doet als je die klanten toch nooit meer terugziet. Tja…;Ja;Graten en een te lange hoofdgraat. Personeel staat te eten achter de snijplank. Geen vork gebruikt. Donkerbruin, bitter, rans en metaalsmaak.;5;Gemiddeld;Matig;66;2.00;3.03;12.9;8.7;Zeer goed
111;Vishandel Schuur;Poststraat 36 - Wildervank;3.5;Zelfs na het bezoeken van honderden viswinkels kun je in een flits worden getroffen door de treurigheid van het leven. Wat een armoede. Hiermee een bestaan opbouwen? Knap.;Nee;"De haring glimt je tegemoet; meestal een slecht teken. Blubberige massa. Bruin en cyclaam verkleurd. Vet hapje, glijdt soepel naarbinnen.";5;Gemiddeld;Goed;63;2.00;3.17;13.9;7.3;Waarschuwingsfase
112;Vis Expo;Nieuwstraat 22 - Middelharnis;3.5;Zou zo’n visdetaillist zijn eigen producten weleens proeven? Vermoedelijk niet, anders is het niet te verklaren dat dit zo over de toonbank gaat. Klanten gooien hun geld weg.;Ja;Opperhuid, lange hoofdgraat en smurrie. Bloed is donkerrood verkleurd en geeft een bittere smaak. Ruikt en smaakt ook nog rans. Treurig!;4.5;Sterk;Matig;58;1.85;3.36;12.6;9.2;Goed
113;Vis Enzo;Tongelresestraat 270 a - Eindhoven;3.5;Deze visdetaillist heeft misschien van huis uit wat minder met haring. Hij blijkt in elk geval wel in staat om een ooit goede haring vakkundig om zeep te helpen.;Nee;De geur is de eerste indicatie en even later bevestigen de smaakpapillen het: zo rans als de pest. Bruin, muf en vettig. Waar is die afvalbak?;4.5;Gemiddeld;Goed;65;2.25;3.46;14.5;9.1;Voldoende
114;Vishandel Nico Smit;Wagnerplein 23 - Tilburg;3.5;Stel, iemand probeert voor het eerst een haring en krijgt deze viezigheid voorgeschoteld. Zo iemand ben je de rest van zijn leven kwijt als haringeter. Weer een gemiste kans.;Nee;Veel te veel graten en vuil van de snijplank. Buitenzijde zilver en mooie speklaag. Bruin verkleurd. Bitter, metaal en rans. Uitspugen die hap.;4;Sterk;Matig;74;2.50;3.37;9.1;11.9;Goed
115;Vishandel Je Maatje;Wesseler-Nering 36-37 - Enschede;3.5;Als je je zaak Je Maatje noemt, geef je daarmee aan dat je iets met haring hebt. En dan laat je dit over de toonbank gaan. Sorry hoor, maar dan is er iets helemaal niet in orde.;Nee;Weer zo’n haring die al lang geleden een hoogtepunt bereikte. Al het frisse is er wel vanaf. Bruin en geel. Olie, vet en bitter. Uitgesproken rans.;3.5;Sterk;Goed;63;2.30;3.65;6.9;11.0;Zeer goed
116;Volendammer Vishandel Jan Plat;Verkoopwagen parkeerterrein Stationsweg 3 - Broek op Langedijk;3;Een verkooppunt dat voor onmiddellijke sluiting in aanmerking komt. Een beetje kritische consument heeft aan één blik voldoende om onmiddellijk in de auto te springen. Weg!;Nee;Haringdrab, maar wel netjes schoongemaakt. Aan de gele en cyclaamverkleuring is al te zien dat de smaakpapillen het weer zwaar krijgen. Kots!;4;Gemiddeld;Goed;85;2.00;2.35;13.4;12.9;Goed
117;Vishandel J.Karregat;Verkoopwagen Markt - Breukelen;3;Soms geloof je je ogen niet. Schandalig dat dit over de toonbank gaat. Zit tegen bederf aan. Eigenlijk niet meer geschikt voor consumptie. Alleen gebruiken als alternatief glijmiddel.;Nee;Opperhuid, rafelig gesneden. Visvlees melkachtig wit met gele en roze verkleuringen. Bitter en rans. Zeer glibberig, olie loopt er gewoon uit.;4;Sterk;Goed;82;2.25;2.71;15.9;11.8;Zeer goed
118;Het Neusje van de Zalm;Molenplein 12 - Heerenveen;3;in de winkel een spontaan taallesje hoe je vijf zoute haringen in het Fries bestelt: ‘Fiif sâlte hjerring.’ Voor de termen bitter, tranig en karamel blijft de vertaling achterwege.;Nee;Aardige verkoopster, maar wat over de toonbank gaat, is prut. Ruikt naar traan. Karamel en bruin verkleurd. Ook nog bitter. Vies ding.;3.5;Gemiddeld;Zeer goed;72;2.25;3.12;8.2;12.7;Zeer goed
119;Zeevishandel Van Doornik;Verkoopwagen dagmarkt dinsdag - Gouda;3;Dergelijke verkooppunten verzieken de markt. Wie dit eet, raakt voor de rest van z’n leven geen haring meer aan. Onkunde lijkt hier de norm. Onmiddellijke bijscholing is noodzaak.;Nee;‘Vers van het mes’ staat op het reclamebord. Niets is minder waar. Van de schaal komt een muf beestje. Geel en crème verkleurd. Rans, vet, bitter.;3.5;Gemiddeld;Matig;60;2.00;3.33;9.1;9.9;Zeer goed
