name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temp;vet_percentage;micro;unique_id;vollaard_id
Vishandel Anita;Textielplein 34 - Tilburg;5.5;Ook na vele jaren veldwerk blijf je je verbazen over de dagelijkse praktijk. Een visdetaillist die zo werkt, speelt met vuur. Is het desinteresse? Pure ondeskundigheid?;Nee;Een hoge temperatuur en een vette haring is geen gelukkig huwelijk. Bruin verkleurd. Nu nog redelijk van smaak, had een paar uur later anders kunnen zijn.;7.0;Gemiddeld;Goed;66;2.50;3.78;13.4;8.1;Waarschuwingsfase;17_088;59
Viswinkel De Lange;Marcelisstraat 37b - Den Haag;9.03;"Gedreven visman probeert het beste uit zijn zaak en zichzelf te halen. Levert een meer dan goede haring. Kleine zaak; lastig parkeren maar de moeite waard.";Ja;Dit is een haring waarover alleen maar in lovende bewoordingen valt te spreken. Klopt technisch en visueel en qua smaak. Wat wil je nog meer?;9.03;Gemiddeld;Zeer goed;45;2.00;4.44;5.8;11.6;Voldoende;16_012;60
Visspecialist Cees Bijlsma;Merk 23 - Workum;5.5;Tip: probeer te vermijden dat je ergens de eerste klant van de dag bent. De kans dat je wordt opgezadeld met de restjes van de vorige dag is levensgroot aanwezig.;Ja;"Te veel huid en graten. Emmertje van een dag eerder dus sterk doorgerijpt. Buitenzijde glanzend en zilver; vanbinnen bruin. Niet frisse vette hap.";5.5;Sterk;Matig;79;2.00;2.53;4.5;15.0;Zeer goed;16_086;61
Volendammer Vishandel Plat & Tol;Westwaarts 76 - Zoetermeer;7.5;"Sommige zaken hebben het; andere niet. Het lijkt hier van het toeval af te hangen welke kwaliteit haring je krijgt. Zaak geeft niet de indruk er bovenop te zitten.";Ja;"Geen topper maar ook geen uitgesproken negatieve eigenschappen. Buitenzijde al een tikkeltje karamel verkleurd; vanbinnen fris. Iets olie.";7.5;Gemiddeld;Zeer goed;76;1.95;2.56;6.9;12.7;Zeer goed;16_062;62
Zeevishandel De Botter;Hessenweg 185a - De Bilt;9.0;"De Botter presteert met zijn haring steeds beter. Waren het in het verleden steeds zesjes; nu is hij echt doorgedrongen tot de top. Dat moet nieuwe klanten opleveren.";Ja;Jarenlange inspanningen beloond. Erg goede haring. Zilte geur. Glanzend. Fris zilver en witte speklaag. Mals in de mond. Zilt en romig nog aanwezig.;9.0;Gemiddeld;Zeer goed;63;2.50;3.96;-1.4;14.0;Zeer goed;16_017;63
Volendammer Visspecialist Tom Tuijp;Middenburcht 7 - Vleuten;9.5;Tuijp heeft zich min of meer een vaste plaats in de top 10 verworven. Hij werkte zich in een paar jaar tijd op tot een van de betere viswinkels van Nederland. Fraaie prestatie.;Ja;Tom Tuijp heeft een goede hand van haring kiezen en weet ook met het visje om te gaan. Hollandse nieuwe waar je je vingers bij opeet. Geweldig!;9.5;Gemiddeld;Zeer goed;75;2.30;3.06;2.2;14.1;Zeer goed;16_004_17_023;64
Visspeciaalzaak Ans Klappe;Heidebloemstraat 57 - Nijmegen;6.0;Buurtwinkel waarvan je je als buitenstaander afvraagt hoe er een fatsoenlijke boterham is te verdienen. Zeker geen onvoldoende, maar voor de haring hoef je hier niet heen.;Nee;De haring is karamel verkleurd. Afwijkende, tikkeltje zoete lucht. In smaak geen verdere grote dissonanten. Wel aan de vettige kant.;7.0;Gemiddeld;Goed;74;2.25;3.04;7.3;10.8;Waarschuwingsfase;17_082;65
Arie’s Visboetiek;Leyweg 183 - Den Haag;0.0;De spreuk: ‘Geen larie, voor het beste naar Arie.’ Complete onzin. Maar nog niet zo slecht als wat Arie aan haring te koop heeft. Totale onkunde op vele aspecten.;Nee;Lekker op elkaar liggend blijft de warmte er goed in. Stinkt, zwart verkleurd. Zuur, muf. Uitbater: ‘Bedorven? Kan niet. Is net schoongemaakt.’ Flauwekul.;0.0;Bedorven;Slecht;57;1.75;3.07;12.5;9.4;Goed;17_145;66
Gamba Seafood;Jansstraat 31 - Arnhem;6.5;Panel hoopte weer eens een 9 of hoger te kunnen noteren. Maar met deze peperdure, uiterst matige haring maakt Gamba zijn goede naam en faam geenszins waar. Kan en moet beter.;Ja;Frisse en zilte geur is geheel verdwenen. Doorgerijpte lucht. Haringen zijn karamel verkleurd. Gerijpt en tikkeltje olieachtig van smaak. Geen top.;6.5;Gemiddeld;Goed;62;2.70;4.35;6.4;9.3;Zeer goed;17_080;67
Zeevishandel Van Doornik;Verkoopwagen dagmarkt dinsdag - Gouda;3.0;Dergelijke verkooppunten verzieken de markt. Wie dit eet, raakt voor de rest van z’n leven geen haring meer aan. Onkunde lijkt hier de norm. Onmiddellijke bijscholing is noodzaak.;Nee;‘Vers van het mes’ staat op het reclamebord. Niets is minder waar. Van de schaal komt een muf beestje. Geel en crème verkleurd. Rans, vet, bitter.;3.5;Gemiddeld;Matig;60;2.00;3.33;9.1;9.9;Zeer goed;17_119;68
Vis & traiteur Jeroen Vijverberg;Rembrandstraat 1b - Naaldwijk;4.5;Even een vieze vette bek halen bij Vijverberg' heet het hier helaas in Naaldwijk. Dit kun je toch niet aan je klanten meegeven? En er nog geld voor vragen ook!;Nee;Wel goed schoongemaakt maar voor de rest is het treurnis en droefenis. Bruin verkleurd. Donkerrood (dus bitter) bloed. Volle oliesmaak in de mond.;4.5;Sterk;Zeer goed;57;2.25;3.94;4.7;8.6;Zeer goed;16_100;69
Visspecialiteiten 't Vissertje;Mercatorplein 105 - Apeldoorn;9.0;Andre Vukkink moet in zijn eigen woorden 'het onderste uit de kan halen' om deze moeilijke haring op een fatsoenlijke manier af te leveren. Dat lukt hem echter wonderwel.;Ja;Een Hollandse nieuwe met een lekkere beet. Ziet er ook aantrekkelijk uit. Mals. Zilt en romig. Top maar mist net de finesse voor dat puntje meer.;9.0;Gemiddeld;Zeer goed;65;2.25;3.46;0.7;13.0;Zeer goed;16_016;70
Vishandel Frijters;Verkoopwagen Doormanplein - Capelle a/d IJssel;6.5;Frijters is al vele jaren in Capelle een vaste verschijning. Presteert wisselend. Scoort ook regelmatig hoger. Mogelijk iets teveel op de automatische piloot gewerkt. Weer op scherp.;Ja;Met vuil van de snijplank en graten maak je geen vrienden. Doorgerijpte haring met volle olieachtige smaak. Verder geen afwijkingen.;7.0;Gemiddeld;Matig;81;2.25;2.77;8.5;11.3;Zeer goed;17_076;71
Vishandel Volendam Kerkelanden;Kapittelweg 233 - Hilversum;4.0;Wie de restjes van de vorige dag in de vitrine legt, verdient niet beter. Doodzonde. Nieuwe, mooie winkel en dan uit verkeerde zuinigheid je naam meteen zo te grabbel gooien.;Nee;Altijd positief beginnen: goed schoongemaakt. Jammer dat de haring niet te eten is. Zwaar bruin verkleurd. Rans, bitter en metaalsmaak.;4.5;Sterk;Goed;78;2.45;3.14;6.3;9.7;Zeer goed;17_107;72
Vispaleis Westerhuis;Mello Coendersbuurt 1a - Termuntenzijl;0.0;Een reis naar het hoge Noorden voor deze smerigheid. De beoordeling doet de eindredacteur onwillekeurig denken aan de zombies van The Walking Dead.;Nee;De haring is goed schoongemaakt en dat is het enige positieve. Zoete weege putlucht. Binnenzijde cyclaam en zwartbruin en geel. Beslist oneetbaar.;0.0;Bedorven;Goed;77;1.75;2.27;11.1;16.9;Zeer goed;16_142;73
Volendammer Vishandel Sier;Landstraat 34 - Bussum;4.0;Je snapt niet wat dit soort visdetaillisten bezielt. Volledige desinteresse en een schrijnend gebrek aan vakmanschap. Wie zo kennis maakt met Hollandse Nieuwe, eet hem nooit meer.;Nee;Graten en vuil van de plank. Oogt onsmakelijk en smaakt ook zo. Metalige bijsmaak. Ook nog eens rans en bitter. Doodzonde van je geld.;4.0;Sterk;Matig;73;2.30;3.15;6.5;11.6;Zeer goed;17_108;74
Vishandel J. de Weert;Brink 90 - Amstelveen;6.5;Op het oog een verkooppunt van dertien in een dozijn. De behandeling van haring moet zorgvuldiger. Haring verkopen op deze temperatuur is vragen om moeilijkheden.;Ja;Op zich goed schoongemaakt maar waarom de binnenzijde niet even afgestreken? Bruin verkleurd. Een meer belegen haring. Niet onsmakelijk.;7.5;Sterk;Goed;75;2.25;3.0;11.6;13.2;Voldoende;16_073;75
Bram van Diermen World of Fresh Fish;Verkoopwagen dagmarkt woensdag Voorstraat - Vianen;6.0;Van Diermen heeft wel eens beter gescoord en ook wel slechter. Eigenlijk weet je nooit waar je aan toe bent. Het kan alle kanten opgaan. En of je daar nu gelukkig van wordt?;Nee;Haring ruikt tranig en dat is ook al in de smaak terug te proeven. Visvlees bruin verkleurd. Sterk doorgerijpt. Geen frisse haring.;6.0;Sterk;Goed;58;2.00;3.44;6.3;12.5;Goed;17_085;76
Roeleveld Vis;Visafslagweg 30 - Den Haag;8.0;Vers van het mes gaan snijden en temperatuur beter bewaken en ook Roeleveld, van oudsher een zeer bekende naam in het Scheveningse viswereldje, scoort zo een 9 of hoger.;Nee;Ruikt iets gerijpt. Zilver vanbuiten, vanbinnen karamel verkleurd. Dat gaat razendsnel. Op smaak nog romig. Tikkeltje belegen haring.;8.5;Gemiddeld;Goed;71;1.75;2.46;8.9;12.2;Zeer goed;17_037;77
Seven Seas Seafood;Zamenhofdreef 75 - Utrecht;7.5;Grote, nieuwe viswinkel opende enkele maanden geleden en loopt volgens de eigenaar ‘als een trein’. Haring is hier niet de eerste prioriteit, dus op zich een nette prestatie.;Ja;Opperhuid en anaalvin aanwezig. Nog iets zilt. Zilver vanbuiten, maar de karamelverkleuring heeft al ingezet. Zachte, wel smakelijke haring.;7.5;Gemiddeld;Goed;54;1.95;3.61;5.5;14.4;Zeer goed;17_055;78
Visgilde Lijffijt & De Jong;Biltstraat 50 - Utrecht;7.5;De test blijft een momentopname en Lijffijt & De Jong kunnen beter. Aardig initiatief: de verkoop van zeewier-graanjenever van lokale distilleerderij De Pronckheer (sinds 1861);Ja;Het bekende probleem: zeer goede haring heeft al een tikje gekregen en is in kwaliteit achteruit gegaan. Karamelkleurig. Tikkeltje belegen smaak.;7.5;Gemiddeld;Zeer goed;80;2.25;2.81;3.2;16.4;Zeer goed;16_055_17_015;79
Vishandel Volendam;Zamenhofdreef 31 - Utrecht;7.0;Doorsnee viswinkel waar alles prima in orde lijkt. Wat betreft de haring kan er nog wel een verbeterslag worden gemaakt, maar veel klachten zal deze haring niet geven.;Ja;Haring zoals die veel wordt verkocht. Doorgerijpt, nog wel enigszins mals maar ook een tikkeltje vettig. Daardoor niet echt fris. Iets verkleurd.;7.0;Sterk;Zeer goed;77;2.35;3.05;5.3;12.6;Zeer goed;17_067;80
Visspeciaalzaak De Bleistarte;Schoolstraat 4 - Zwartsluis;7.0;Een Hollandse Nieuwe zoals je deze dit jaar bij bosjes tegenkomt. Er is niets mis mee, maar net een aantal uren te lang doorgerijpt. Dat spel moet je als detaillist (leren) beheersen.;Ja;Door een enkel graatje laten we de pret niet bederven. Fris en mooi rood, maar ook doorgerijpt. Niet meer zilt en romig. Goede middenmoter.;7.0;Gemiddeld;Goed;66;1.95;2.95;4.7;11.7;Zeer goed;17_066;81
Vishandel Buter;Verkoopwagen Wittesteijn - Emmeloord;5.5;Buter heeft geluk dat hij ’s morgens wordt beoordeeld. Een paar uur later en deze haring had er helemaal doorheen gezeten. Scherpere attitude van personeel lijkt noodzakelijk.;Nee;Heel veel smurrie aan de binnenzijde, erg rafelig gesneden. Ook nog huid. Bruin verkleurd. Het kan nog wel, maar voor je genoegen eet je dit niet.;6.0;Sterk;Slecht;65;2.00;3.07;8.3;7.2;Zeer goed;17_092;82
Visspecialiteiten De Oceaan;Plein 1953-1 - Rotterdam;4.0;Duidelijk een kwestie van beter nadenken over procedures en de puntjes op de i zetten. Als er niets gebeurt, is het een kwestie van tijd voordat het helemaal misgaat.;Ja;Buiten schoonmaken terwijl er een warme wind waait, is vragen om problemen. Bruin verkleurd. Vettig en een metaalachtige bijsmaak.;5.0;Gemiddeld;Zeer goed;77;1.85;2.9;10.5;11.4;Zeer goed;17_105;83
Visgilde Bieshof;Van Eesterenplein 96 - Dordrecht;9.0;Ook op dit adres zijn er heel wat uurtjes gaan zitten in de manier waarop het beste met de haring kan worden omgegaan. Die investering betaalt zich op zeker moment uit.;Ja;Dat laatste beetje dat deze Hollandse nieuwe tot een echte topper zou maken ontbreekt. Toch geen klagen. Bieshof serveert een erg goede haring.;9.0;Gemiddeld;Zeer goed;57;2.00;3.5;6.8;10.5;Zeer goed;16_026;84
Visshop De Noordkade;Noordkade 27 - Drachten;4.5;Zou iemand van de Partij voor de Dieren hier een harinkje happen, dan volgt daar zeker actie op. Een Hollandse Nieuwe op deze manier presenteren is dierenmishandeling.;Nee;Huid en graten. Hier is de bijl gebruikt in plaats van het fileermes. Karamel verkleurd. Niets fris meer te bespeuren. Smaakt vooral bitter. Doodzonde.;5.0;Gemiddeld;Matig;63;2.00;3.17;7.9;12.4;Voldoende;17_101;85
Visspeciaalzaak Havenzicht;Lunenburgstraat 3 - Breda;8.97;Stevie Wijnings durfde het avontuur aan en opende zijn derde winkel. Dit keer in Breda, waarmee deze stad eindelijk weer een viszaak van topniveau heeft. Ga zelf maar eens kijken.;Ja;Zeer goede Hollandse Nieuwe. Het begint met voortreffelijk schoonmaken. Ziet er vanbinnen en vanbuiten goed uit. Lekker mals en romig.;8.97;Gemiddeld;Zeer goed;72;2.25;3.72;3.3;11.7;Zeer goed;17_021;86
Corrie’s Visstekje;Vincent van Goghstraat 15 - Nuenen;7.5;Corrie is dolenthousiast dat de Haringtest haar Visstekje aandoet. Zij hoeft zich ook nergens voor te schamen. Op een broodje met een uitje erbij is dit een uitstekende haring.;Nee;Een paar graatjes, maar voor de rest goed schoongemaakt. Beetje karamel verkleurd. Iets belegen en aan de vettige kant. In de verte nog een beetje room.;7.5;Gemiddeld;Goed;75;2.50;3.33;6.8;10.6;Zeer goed;17_060;87
Spakenburgse Vishandel H.C.de Graaf;Kruisstraat 6 - Woerden;9.0;De Graaf heeft gemerkt dat een goede Hollandse nieuwe bijdraagt aan het succes van zijn winkel en omzet genereert. Scoort zijn hoogste cijfer sinds jaren. Van harte.;Ja;"Een verrassing zowel op uiterlijk als op smaak. Oogt fris: zilver met een witte speklaag vanbuiten; helderrood en blank vanbinnen. Mals en romig.";9.0;Gemiddeld;Zeer goed;70;2.25;3.21;4.7;17.4;Zeer goed;16_022;88
Valk Versmarkt;Veurseweg 214 - Voorschoten;5.0;Hollandse nieuwe gaat ten onder in de massaliteit van deze (schitterende) versmarkt met grote visafdeling. De haring krijgt niet de aandacht die hij nodig heeft. Dat merk je direct.;Nee;Ooit een goede haring maar heeft te lang geleden en nu duidelijk op z'n retour. Bruin verkleurd met de eerste tekenen van oxidatie. Stevige oliesmaak.;6.0;Gemiddeld;Zeer goed;68;1.75;2.57;10.6;16.7;Zeer goed;16_091;89
Visgilde Schot;Jan van Goijenstraat 6 - Papendrecht;7.5;Als, als, als. Als Schot een nieuwe emmer had gepakt, zou hij ongetwijfeld hoger hebben gescoord. Nu ook niet slecht, maar nu blijft hij toch steken in de middenmoot.;Nee;De haring komt uit een emmer die al enige tijd geleden is geopend. Dat is niet erg, maar het rijpingsproces gaat wel door. Dus een tikkeltje belegen.;7.5;Gemiddeld;Zeer goed;64;2.00;3.12;6.2;11.8;Zeer goed;17_059;90
Vishandel Keizer & Zn;Verkoopwagen Veldhoflanden 5 - Enschede;5.5;Het getuigt van lef om voor zo’n harinkje 2,50 euro te vragen en dan deze kwaliteit te leveren. Maar klaarblijkelijk laten zijn klanten Keizer hiermee wegkomen. Raadselachtig.;Nee;Los van een paar graatjes goed schoongemaakt. Smaak valt voor een Nieuwe tegen. Sterk bruin verkleurd. Doorgerijpt en bitter. Ook dat vettige.;6.0;Gemiddeld;Goed;62;2.50;4.03;7.1;12.3;Zeer goed;17_091;91
Volendammer Vishandel Johan Schilder;Europaboulevard 361 - Alkmaar;8.5;Fanatieke Johan Schilder is ‘not amused’ als hij merkt dat zijn personeel de instructies om ijs mee te pakken heeft genegeerd. Temperatuur iets te hoog. Kost een half punt en een hogere plaats.;Ja;Een klein feestje. Fris, transparant en mooi rood. Zilver vanbuiten, blank vanbinnen. Dit eet je met genoegen op. Is er nog een stukje?;9.0;Gemiddeld;Zeer goed;63;2.00;2.94;9.4;12.9;Zeer goed;17_029_16_019;92
Toet Visspecialiteiten;Herenstraat 60 - Voorburg;7.5;Iedere ondernemer mag de prijs vragen die hij zelf wil. Toch krijg je hier een hoog Kniertje-gevoel: de vis wordt duur betaald. Maar als je ermee wegkomt, waarom niet?;Ja;Huid en graten verhinderen beoordeling ‘zeer goed schoongemaakt’. Belegen, iets vettige haring. Niets mis mee, maar mist het kenmerkende.;7.5;Sterk;Goed;75;2.75;3.66;4.8;13.0;Zeer goed;17_054;93
Bartje’s Vis;Deldensestraat 31 - Almelo;9.0;Eigenaar Bart Schreuter heeft zich de afgelopen jaren fanatiek op de haring gestort en tal van kwaliteitsstappen gemaakt. Dat werpt nu zijn vruchten af. Groot compliment voor hele team.;Ja;Een toppertje. De Noordzee ligt 200 kilometer naar het westen, maar je ruikt hem wel. Fris en zilt. Mooi rood en blank. Een ware traktatie.;9.0;Licht;Zeer goed;59;2.00;3.38;6.3;13.4;Zeer goed;17_012_16_028;94
De Lemster Vishal;Kortestreek 3 - Lemmer;7.0;Op het oog een gemiddelde viszaak met redelijke haring, maar vis en toeristen zijn niet altijd een gelukkige combinatie. Weten die buitenlanders hoe een Nieuwe smaakt?;Ja;Huid en veel vuil van de plank. Ook erg onregelmatig gefileerd. Doorgerijpte haring met alle smaakkenmerken van dien. Jammer van het bittertje.;7.5;Sterk;Matig;69;2.00;2.89;5.5;13.4;Waarschuwingsfase;17_062;95
Vishandel Je Maatje;Wesseler-Nering 36-37 - Enschede;3.5;Als je je zaak Je Maatje noemt, geef je daarmee aan dat je iets met haring hebt. En dan laat je dit over de toonbank gaan. Sorry hoor, maar dan is er iets helemaal niet in orde.;Nee;Weer zo’n haring die al lang geleden een hoogtepunt bereikte. Al het frisse is er wel vanaf. Bruin en geel. Olie, vet en bitter. Uitgesproken rans.;3.5;Sterk;Goed;63;2.30;3.65;6.9;11.0;Zeer goed;17_115;96
Fizzi;Noorderkeerkring 14 - Alphen aan den Rijn;8.0;Ook Fizzi ontwikkelt zich. Elk jaar wordt een klein stapje voorwaarts gezet en dat is leuk om te merken. Klanten reageren dan ook enthousiast op de haring.;Ja;"Petje af voor de haringsnijdster! Frisse geur. Vanbuiten zilver; vanbinnen fris rood en blank. Op smaak iets gerijpt mist het zilte en romige.";8.0;Gemiddeld;Zeer goed;63;2.25;3.3;6.8;12.1;Zeer goed;16_048;97
Jumbo;Miereakker 18 - Reeuwijk;0.0;En wat staat er op het etiket? 'Gegarandeerd lekkere haring.' Kwaliteitsbeheersing van schip tot schap.' Wat een onzin. 't Draait alleen maar om de centen en de rest is flauwekul;Nee;Het aroma komt je tegemoet wanneer je de verpakking opendoet. Putlucht wel te verstaan. Klevers en slijmdraden. Absoluut oneetbaar.;0.0;Bedorven;Goed;59;2 / 2.28;1.93;2.6;11.1;Zeer goed;16_140;98
Visspecialiteiten 't Vers Waard;Raadhuisstraat 20 - Heerhugowaard;5.5;Een verkooppunt waar je niet onmiddellijk de indruk krijgt dat de Hollandse nieuwe een speciale behandeling krijgt. En zonder die extra aandacht zit je al snel in de middenmoot.;Nee;"Een paar graatjes maar niets dramatisch. Belegen geur. Haring zoals je die veel ziet: doorgerijpt; zacht visvlees; olieachtig en met een bittertje.";6.0;Sterk;Goed;72;2.10;2.91;8.2;14.1;Voldoende;16_084;99
Vishandel E. Fieret;Verkoopwagen Plein 1940 - Scherpenzeel;7.5;Vooral bij warm weer is het zaak in een verkoopwagen zeer alert te blijven. Blijft de haring even te lang liggen, dan is ransheid een feit. Fieret lijkt daaraan te ontsnappen.;Ja;In de geur is in de verte nog een vleugje zee te bespeuren. Aan de hartige kant, maar hapt verder wel lekker weg. Al een tikkeltje gerijpt.;7.5;Gemiddeld;Goed;69;2.00;2.89;6.1;11.1;Zeer goed;17_058;100
Visspecialist Stevenshof;Stevensbloem 163 - Leiden;9.0;Rian Hoek is schatplichtig aan leermeester Kees Koning. Hij streeft ernaar in zijn net geopende winkel de Hollandse nieuwe op de kaart te zetten. Een goed begin is het halve werk.;Ja;Als zonen van een haringgroothandelaar zitten de broers Rian en Tim Hoek dicht bij het vuur. Mooie haring met uitsluitend positieve eigenschappen.;9.0;Gemiddeld;Zeer goed;61;1.85;3.03;2.1;12.3;Zeer goed;16_013;101
Fish Plaza;Gochsedijk 96 - Siebengewald;7.0;De praktijk: AD komt op dinsdag langs en krijgt haring uit een emmer die al op zaterdag is ontdooid. Dat is te lang want ook in de koeling gaat het fermentatieproces gewoon door.;Ja;Een doorgerijpte en deels verkleurde haring. Vanbuiten mooi zilver. Geen echte afwijkingen maar is dit nu zo'n de fameuze Hollandse nieuwe ?;7.0;Sterk;Goed;77;1.95;2.53;4.1;15.4;Zeer goed;16_067;102
Zeevishandel De Graafschap;Prins Bernhardweg: parkeerterrein AH - Lochem;5.5;Hier zijn we snel uitgesproken. Het meest opvallend zijn de resten glas die na het springen van een ruit nog in de sponning van de vitrine zitten. Gewoon boven de verse vis!;Ja;Haring met niet-weggesneden bloeduitstortingen. Al ver doorgerijpt met de bekende gefermenteerde smaak als gevolg. Zacht en olieachtig.;5.5;Sterk;Goed;61;2.35;3.68;6.3;9.6;Zeer goed;16_088;103
Visspecialiteiten Tom Brummel;Verkoopwagen Linie - Apeldoorn;0.0;Startende ondernemer werkt zichzelf lelijk in de nesten. Oké, het was buiten warm, maar dit kan echt niet. Haring van 14 graden is vragen om problemen. Leer van deze ervaring.;Nee;Warme haringpap waarvan je kippenvel op je armen krijgt. Doorgerijpte haring ruikt naar oude kaas, maar dit is tenenkaas. Oneetbaar.;1.0;Sterk;Slecht;65;2.25;3.46;14.3;12.8;Zeer goed;17_138;104
Plus;Botter 4431 - Lelystad;3.0;Plus scoorde enige publiciteit door bij de veiling van het eerste vaatje de laatste bieder te zijn. Maar als je vervolgens deze rotzooi verkoopt heb je niets met haring.;Nee;Het lijkwitte visvlees oogt onaantrekkelijk en ruikt bedorven. Ontbinding heeft ingezet. Korrelige structuur. Bitter. Vissig en wee. Oneetbaar.;3.0;Sterk;Zeer goed;61;2 / 1.49;1.22;5.1;16.8;Zeer goed;16_112;105
Van den Boogaart Visspecialiteiten;Hof van Holland 24 - Zwijndrecht;8.0;Een adres waar wordt geprobeerd het beste uit het product te halen. Wie op een dergelijke manier bewust bezig is, zal zich altijd positief onderscheiden. Ga door op de ingeslagen weg.;Ja;Absoluut oké. Ruikt nog iets naar de zee. Vanbuiten zilver, vanbinnen rood en blank. Frisse haring die zich gemakkelijk laat weghappen.;8.0;Gemiddeld;Zeer goed;67;2.00;2.98;3.4;13.9;Zeer goed;17_041_16_033;106
Volendammer Vispaleis Tol;Brockwaystraat 1 - Haarlem;8.0;Vispaleis Tol opende nog niet zo lang geleden de deuren en profiteert mee van de stroom publiek die de Vomar trekt. Niets mis mee. Nu al een aanwinst voor visminnend Haarlem.;Ja;Geen graatje te bekennen en dat doet goed. Mooi zilver aan buitenkant. Nog enigszins fris en zilt. Niet de echte top, maar wel goed. Keurig gedaan.;8.0;Gemiddeld;Zeer goed;79;2.25;2.84;1.7;11.1;Zeer goed;17_040;107
Visspeciaalzaak Van Reenen;Arkendonk 46 - Oosterhout;8.0;Eigenaar herkent de keurders en pakt direct een nieuwe emmer. Maar wat er niet in zit kan er ook niet uitkomen. Hij is in elk geval scherp en met zijn vak bezig. Dat is prima.;Ja;"Ruikt fris en ziet er goed uit. Glanzend; zilver en fris rood. Toch begint de verkleuring al. Op smaak nog iets zilt en romig met de eerste belegen tonen.";8.0;Gemiddeld;Zeer goed;61;1.95;3.19;4.6;14.0;Zeer goed;16_045;108
’t Vispleintje;Sint Annaplein 11 - Baarle-Nassau;8.0;Twee jonge vrouwen begonnen hun eigen winkel en leggen daar eer mee in. Van heinde en verre stromen de klanten toe. Voor een dergelijke haring is dat de reis ook waard.;Ja;Het schoonmaken kan niet beter. Fris van geur. Iets karamel verkleurd, maar dat mag de pret niet drukken. Mals en aan de hartige kant.;8.5;Gemiddeld;Zeer goed;51;2.35;4.6;9.7;9.5;Zeer goed;17_038;109
Smit V'dammer Vishandel Tussenmeer;Tussen Meer 67 - Amsterdam;7.0;Wie niet beter weet vindt dit vermoedelijk een prima haring. Negatieve punten ontbreken. Maar dat is ook het geval met alles wat van een Hollandse nieuwe een delicatesse maakt.;Ja;"Opperhuid. Een enkel graatje en smurrie. Dat kan beter. De buitenzijde is mooi zilver; de binnenzijde bruin verkleurd. Redelijk smakende stevige vis.";7.0;Gemiddeld;Matig;74;2.10;2.83;5.1;11.1;Zeer goed;16_069;110
Visamy;Bellamypark 44 - Vlissingen;8.0;Zonder meer een goede haring, alleen, hij mist datgene wat de Hollandse Nieuwe tot een echte delicatesse maakt. Maar je zou willen dat alle zaken dit niveau haalden.;Ja;Zeer goed schoongemaakt. Blijft daarna te lang ongekoeld staan, waardoor temperatuur snel oploopt. Mals en zilt. Aan de hartige kant.;8.5;Gemiddeld;Zeer goed;72;1.95;2.7;8.4;15.4;Zeer goed;17_036;111
Van der Zwan Vistotaal;Kerkeveldlaan 14 - Roermond;7.0;Van oudsher een bekende en gerenommeerde naam in noordelijk Limburg. Kan zich met een klein beetje meer moeite vermoedelijk aanzienlijk verbeteren.;Nee;Hollandse Nieuwe zoals die op veel plaatsen wordt verkocht. Beetje gerijpt, iets te hoge temperatuur en daardoor een vettige smaak.;7.5;Gemiddeld;Zeer goed;67;1.85;2.76;9.5;10.3;Zeer goed;17_064;112
Vis van Klaas;Verkoopwagen Damplein - Dordrecht;7.5;Op een hete zomerdag is het in een verkoopwagen lastig werken. Alle begrip daarvoor. Desondanks moet de haring toch kouder worden gepresenteerd. De risico’s zijn te groot.;Nee;Goede haring die op smaak in de buurt komt van de echte top. Zeer goed schoongemaakt. Te hoge temperatuur is wel een punt van aandacht.;8.5;Licht;Zeer goed;53;2.25;4.24;12.1;15.8;Zeer goed;17_049;113
Vishandel Mattie;Verkoopwagen Bouwe Harkemastrjitte - Harkema;7.0;In Friesland is Mattie koning Eenoog. Is deze Hollandse nieuwe het omrijden waard? Beslist niet. Maar als je het ermee moet doen vind je het misschien nog wel lekker.;Ja;Iets vuil van de snijplank. Een gerijpte doorgefermenteerde haring. Zacht als tandpasta maar geen smaakafwijking. Vraagt om een broodje en ui.;7.0;Sterk;Goed;61;1.80;2.95;6.8;13.6;Zeer goed;16_071;114
Visspecialisten Kees en Chantal Sloot;Keizerswaard 12 - Rotterdam;8.5;Kees Sloot is een visverkoper die vertrouwen uitstraalt. Altijd goede producten en een keurige bediening. Beslist een potentiële kandidaat voor een toekomstige plaats in de top 10.;Ja;Na herkenning van het AD-testteam slaan de zenuwen toe. Nergens voor nodig. Er gaat een prima haring over de toonbank. Ook nog iets romig.;8.5;Gemiddeld;Zeer goed;76;2.15;2.82;5.9;13.5;Zeer goed;17_032;115
Visgilde François de Bie;Roostenlaan 67 - Eindhoven;2.0;Detaillist wil de haring goed koud meegeven. Maar als een haring rans is geworden, helpt terugkoelen niet. Probeer vers van het mes te werken op een gekoelde snijplank.;Nee;Wat is dit vies! Het begint met een afwijkende geur (tenenkaas?) en eindigt even later met een bek vol levertraan. Ook nog eens erg bitter en muf.;2.0;Gemiddeld;Goed;64;2.75;4.29;3.6;7.8;Zeer goed;17_126;116
